id,words,value
25,dimostrare,1.3897366
25,docente,0
25,potrà,0.1054688
25,vale,0.2853022
26,ambizioso,-0.1969769
26,chiaro,0.9948306
26,considera,0.4992700
26,cuore,-0.0635988
26,dopo,0.1599842
26,long,0
26,progetto,0
26,tanto,-0.1963891
26,tempo,0.5431886
26,term,0
26,volta,0.4007650
26,volta,1.1151720
26,x,0
27,ancora,-0.1261360
27,grande,0.3005349
27,mai,-0.7627831
27,onda,0
27,online,0
27,sapesse,0.7305857
27,spettacolo,0.3198690
27,visto,0
28,campi,0.3373172
28,campi,-1.6865860
28,disoccupazione,-1.7431666
28,incolti,-2.1583480
28,massa,0
28,rimedio,0.0000000
28,rimedio,-0.4423563
28,riutilizzo,0
28,scuola,-0.2930168
28,solo,-0.1194989
28,unica,-0.4680308
29,già,-0.0130676
29,letto,0.5079233
29,letto,-0.1269808
29,pagine,0
29,piano,-0.7153263
29,scuola,-0.2930168
30,bisogna,0.0000000
30,bisogna,0.2297839
30,euro,0
30,milioni,0
30,passare,0.2625057
31,aggiorna,0
31,carriera,0
31,de,0
31,fa,0.1616711
31,formazione,0.4497140
31,innovazione,1.0130380
31,merito,1.2853260
31,merito,1.4751070
31,qualità,0.3631757
31,scuola,-0.2930168
31,scuola,-0.2930168
31,valutazione,0.4092311
32,buona,1.2762666
32,dire,0.3487624
32,insegnanti,1.5067950
32,insegnanti,0.3766988
32,italiano,0
32,parte,-1.2946700
32,passato,-0.5378283
32,passato,0.2482285
32,premiare,0
32,scuola,-0.2930168
32,studia,0.7553819
32,togliere,0
32,veramente,0.4014901
32,verità,0.5420237
33,così,0.4771842
33,intesta,0
33,renzi,0
33,riforma,0.3269558
33,scuola,-0.2930168
33,video,0
34,eee,0
34,inglese,0
34,parla,-0.1879033
34,potenziare,0
34,stato,0.1454871
34,stato,0.1613510
34,stato,0.2198772
34,tempi,0.7631588
34,tempi,1.0911160
35,ecco,0
35,inglese,0
35,insegnamento,0.8388687
35,lingua,-0.3253546
35,madre,0
36,concreti,1.1728338
36,concreti,0.0000000
36,guida,0.3098117
36,impegno,0.6173627
36,impegno,0.3112950
36,linee,0.0223794
36,segnali,0
37,amministrazione,1.0720605
37,cumolo,0
37,impieghi,0.6626196
37,incompatibilità,-0.3668215
37,indeterminato,-0.5224492
37,italia,0
37,lavori,-0.9043046
37,lavori,-0.3014349
37,lavori,0.3904952
37,professori,0
37,pubblica,-0.2891866
37,tempo,0.5431886
38,badante,1.4157744
38,forse,0.2215595
38,ins,0
38,no,-0.7562506
38,regolarmente,0.4025135
38,scuola,-0.2930168
38,servirà,-0.0048077
38,vecchi,0.0686437
39,belli,1.7787468
39,ricordo,-0.0793242
39,solo,-0.1194989
39,studieremo,1.3128920
40,europa,0
40,piano,-0.7153263
40,presentato,0.3385794
40,quotidiano,0.3149625
40,renzi,0
40,scuola,-0.2930168
40,scuola,-0.2930168
40,st,0
40,videomessaggio,0
41,così,0.4771842
41,gratuità,0
41,me,0
41,privatizza,0
41,tutte,0.4467853
42,assumere,-1.0330324
42,buona,1.2762666
42,capitolo,1.5755311
42,docenti,0
42,precari,-0.1206297
42,renzi,0
42,riforma,0.3269558
42,scuola,-0.2930168
42,scuola,-0.2930168
43,delusione,-2.3305149
43,espressione,-1.0043940
43,parole,0
43,proclami,0
43,soluz,0
43,vento,0
44,afferma,0.3736893
44,annuncite,0
44,basta,0
44,dopo,0.1599842
44,forse,0.2215595
44,italiani,0
44,parla,-0.1879033
44,serve,-0.0096774
44,supplentite,0
45,buona,1.2762666
45,convince,0.4343643
45,cosa,-0.1283872
45,proprio,0.2885740
45,scuola,-0.2930168
46,casa,0
46,cultura,0.4729221
46,input,0
46,istituzione,0
46,parcheggio,0
46,propria,0.4250243
46,ragazzi,0.4578427
46,ragazzi,0.2289214
46,tempo,0.5431886
46,valore,1.3554130
47,apprendistato,0
47,matteo,0
47,obbligatorio,0
48,ecco,0
48,link,0
48,pdf,0
49,buona,1.2762666
49,file,-0.0130614
49,governo,0
49,pdf,0
49,rapporto,0
49,scarica,-1.0744370
49,scarica,-0.7814088
49,scuola,-0.2930168
50,digitale,0
50,diventi,0
50,grande_successo,0.5000000
50,piccolo,-0.7711742
50,scuola,-0.2930168
50,segnale,0
50,spera,0.0358015
51,ancora,-0.1261360
51,inizio,0.2661396
51,insegnerà,0.5000000
51,moglie,0
51,oggi,0.2300098
51,sa,0.3854818
51,scuola,-0.2930168
51,settimana,0
52,bisogna,0.2297839
52,bisogna,0.0000000
52,docenti,0
52,essere,0.1491227
52,gratis,0
52,lavorare,-0.8219118
52,migliori,1.8668060
52,migliori,0.8668396
52,nessuna,0
52,novità,-0.1603836
52,quindi,0
52,riforma,0.3269558
52,scuola,-0.2930168
52,traduzione,-1.0386300
53,assunti,-1.1126012
53,essere,0.1491227
53,fare,0.1700394
53,ovvero,0
53,professione,0.3965296
53,tappabuchi,0
54,buona,1.2762666
54,buona,1.2762666
54,contrario,1.5529620
54,credo,0.2543057
54,diritti,0.8773142
54,fa,0.1616711
54,parlano,-0.2400761
54,partendo,0
54,scuola,-0.2930168
54,scuola,-0.2930168
54,segnali,0
54,troppi,-0.3027119
55,consultazione,0.4708972
55,is,0
55,maxi,0
55,pubblica,-0.2891866
55,scuola,-0.2930168
55,the,0
55,way,0
56,discussione,0.2279939
56,indirizzo,0
56,lasciato,-0.3704304
56,mail,0
56,passo,0.2612621
56,passo,0.2830340
56,primo,-0.0104580
56,pubblica,-0.2891866
56,rapporto,0
56,scuola,-0.2930168
56,seguire,0
57,act,0
57,aggiungere,0
57,italia,0
57,servirebbe,-0.0161872
57,start,0
57,up,0
57,vero,0.1398128
58,casta,1.5174614
58,casta,1.5900164
58,dire,0.3487624
58,ferie,-1.1548940
58,giorni,0.2027941
58,infervora,0
58,lavorare,-0.8219118
58,ore,0.0384342
58,ore,-0.8345703
58,puo,0
58,senno,1.7684700
58,trenta,0
59,parte,-1.2946700
59,preferisco,0.7128333
59,riforma,0.3269558
60,buona,1.2762666
60,scuola,-0.2930168
61,dopo,0.1599842
61,hashtag,0
61,lavoro,0.2492198
61,lavoro,-0.5771407
61,malloppone,0
61,nuovo,0.5390345
61,pagine,0
61,problema,-0.9492148
61,risolto,-1.1654530
61,senato,0
62,buona,1.2762666
62,matteo,0
62,news,0
62,presentato,0.3385794
62,renzi,0
62,riforma,0.3269558
62,scuola,-0.2930168
62,scuola,-0.2930168
62,ultime,-0.5927302
63,chiedo,0.2196944
63,grazie,0.0873786
63,grazie,0.6171325
63,merito,1.2853260
63,merito,1.4751070
63,possibile,0.7460535
63,valutazione,0.4092311
64,aziende,0.9586593
64,buona,1.2762666
64,insegnati,2.1836410
64,mangi,0
64,mese,0
64,no,-0.7562506
64,obiettivo,0.3031350
64,ogni,0
64,pagamento,0
64,principio,0.9293410
64,private,-0.1036051
64,quarto,0
64,raggiunto,0.0092008
64,scuola,-0.2930168
64,stipendio,0
65,dimostrare,1.3897366
65,ingiusta,0.4403405
65,scuola,-0.2930168
65,volevasi,0
66,balle,0
66,buona,1.2762666
66,comunisti,0.3341382
66,comunisti,-0.3341382
66,demoniocristiani,0
66,fascisti,0
66,fede,0.3310517
66,fuori,0
66,giurata,-1.0886690
66,laici,-2.8652610
66,principio,0.9293410
66,proff,0
66,quinto,0
66,scuola,-0.2930168
66,solo,-0.1194989
67,buona,1.2762666
67,comunque,-0.4173426
67,contribuire,0.7997711
67,governo,0
67,pensi,0.2186725
67,piattaforma,0
67,progettare,0
67,renzi,0
67,scuola,-0.2930168
68,arte,0.5589142
68,ore,-0.8345703
68,ore,0.0384342
68,superiori,0.1749721
68,vorrebbe,0.3070990
69,capaci,0.3578801
69,ciò,0
69,decreto,0
69,fare,0.1700394
69,fare,0.1700394
69,fare,0.1700394
69,pagate,0
69,persone,0
69,semplicemente,0.7435577
69,serve,-0.0096774
69,servono,-0.0115026
70,efficiente,0.0000000
70,meritocratica,0.0000000
70,poi,0.4417840
70,rilancia,0
71,insegnamento,0.8388687
71,musica,1.8922730
71,primarie,0.8685816
71,scuole,-0.3794489
72,compagni,1.2390417
72,davvero,0.8716076
72,dedicata,0.3486516
72,ex,0
72,insegnanti,1.5067950
72,insegnanti,0.3766988
72,meritano,1.6729690
72,università,1.0000000
73,diplomano,0
73,estero,-0.3193325
73,finisce,0
73,giovani,-0.1041645
73,letto,0.5079233
73,letto,-0.1269808
73,pagine,0
73,riforma,0.3269558
73,scuola,-0.2930168
73,vanno,0.2889076
73,vanno,0.2505994
74,affonda,0
74,disoccupazione,-1.7431666
74,lungo,1.1915140
74,paese,0
74,preoccupa,0.0626480
74,qui,0
74,riforma,0.3269558
74,scuola,-0.2930168
74,termine,0
74,tutta,0.4795682
74,valutare,1.6065520
75,assunzioni,-0.7201592
75,basta,0
75,fondi,-0.1280023
75,mila,0
75,precari,-0.1206297
75,punti,-1.9896200
75,punti,0.2603674
75,punti,0.5028711
75,riforma,0.3269558
76,buona,1.2762666
76,pillole,0.4626399
76,renzi,0
76,riforma,0.3269558
76,scuola,-0.2930168
77,cambiato,-0.1619833
77,continuità,0
77,fra,0
77,oggi,0.2300098
77,parliamo,-0.2611503
77,preside,0
77,professori,0
77,quasi,0.2139592
77,tempo,0.5431886
77,volta,1.1151720
77,volta,0.4007650
77,zero,-0.0218424
78,condivisibile,0
78,così,0.4771842
78,funzionava,0.4924515
78,grossolana,0
78,ispettori,0.9692378
78,occhiata,0.3978937
78,pare,-0.5385138
78,prima,-0.0075449
78,prima,0.1584426
78,ruolo,0
78,tempo,0.5431886
79,integrale,1.5808930
79,possibile,0.7460535
79,scaricare,0
79,testo,0.9646248
80,ah,0
80,allora,0
80,beh,0
80,buona,1.2762666
80,scuola,-0.2930168
80,smettetela,0
81,cosa,-0.1283872
81,dica,0.6431059
81,ogni,0
81,parlare,-0.1866340
81,propria,0.4250243
81,scuola,-0.2930168
81,studente,-0.4035421
81,vuole,0.1946560
81,vuole,0.8110613
82,avere,0.2216343
82,scuola,-0.2930168
83,annuncio,0
83,comprensione,0.6583414
83,contesto,0.3805164
83,economico,-0.1762959
83,ennesimo,0
83,mutato,-1.0330400
83,nessuna,0
83,parole,0
83,parole,0
83,parole,0
83,renzi,0
83,riforma,0.3269558
83,scuola,-0.2930168
83,sociale,1.1489700
84,ascoltare,0
84,bene,0.5374784
84,cittadini,0
84,consultazione,0.4708972
84,insegnanti,1.5067950
84,insegnanti,0.3766988
84,parteciperanno,0
84,studenti,-0.3128458
85,buone,1.9701980
85,condivisibile,0
85,intenzioni,0
85,peccato,-0.4305959
85,peccato,-0.6151370
85,pienamente,1.5989880
85,rimarranno,0.4041257
85,solo,-0.1194989
86,anni,0
86,felici,1.9187040
86,giovanile,0
86,inglese,0
86,portiamo,0.1792702
86,scuola,-0.2930168
86,supporto,0.3493106
87,apprendimento,1.0796005
87,cambiare,-0.1385947
87,può,0.1054688
87,scuole,-0.3794489
87,sistema,0.0738602
87,sistema,0.2743379
87,tecnologia,1.0821180
88,ecco,0
88,piano,-0.7153263
88,riformare,0
89,anno,0
89,buona,1.2762666
89,cambiare,-0.1385947
89,italiana,0
89,scuola,-0.2930168
89,scuola,-0.2930168
90,bravi,1.8467297
90,consultazione,0.4708972
90,dettagli,1.2925566
90,dettagli,0.0000000
90,già,-0.0130676
90,inizio,0.2661396
90,letto,0.5079233
90,letto,-0.1269808
90,ottimo,0.3271044
90,ottimo,2.6168350
90,sembra,-0.2465537
91,chiusa,0.3588231
91,chiusa,-1.2232499
91,scuola,-0.2930168
92,arriva,0.5061237
92,docente,0
92,guida,0.3098117
92,linee,0.0223794
92,mentor,1.7904170
92,scuola,-0.2930168
93,dodici,0
93,premier,0
93,presentata,0.4071288
93,punti,-1.9896200
93,punti,0.2603674
93,punti,0.5028711
93,renzi,0
93,riforma,0.3269558
93,stamattina,0
94,annunciata,0
94,così,0.4771842
94,dodici,0
94,eccone,0
94,mai,-0.7627831
94,precari,-0.1206297
94,riforma,0.3269558
94,scuola,-0.2930168
94,scuola,-0.2930168
94,stata,0.2126025
94,stata,0.1916996
95,almeno,-0.7277731
95,anni,0
95,dopo,0.1599842
95,frutti,-0.4008495
95,investimento,0
95,istruzione,0.6303090
95,predica,-0.4287023
95,pubblico,-0.2560054
95,sa,0.3854818
95,unico,-0.4647853
95,vedono,0.3176057
95,vent,0
96,de,0
96,grafica,1.5897910
96,grafica,1.8169040
96,imbarazzante,-2.1688880
96,imbarazzante,-0.7229627
97,esisterà,0
97,no,-0.7562506
97,perchè,0
97,pubblica,-0.2891866
97,scuola,-0.2930168
98,civica,0
98,civile,-0.0945173
98,defunto,-1.5302242
98,direttive,0.4527555
98,dopo,0.1599842
98,educazione,0.7087967
98,ennesima,0
98,molte,0.2594819
98,moro,0
98,nessun,0
98,obbligo,0.6314019
98,priva,0
98,riforma,0.3269558
98,rispetto,0.8509249
98,rispetto,1.1758020
98,scuola,-0.2930168
98,sturzo,0
99,altra,-1.0593781
99,balla,0
99,buffone,-0.2989524
99,capito,-0.7112998
99,capito,0.6579523
99,p,0
99,pò,0
99,sembra,-0.2465537
99,stavolta,0
100,buona,1.2762666
100,cosa,-0.1283872
100,parla,-0.1879033
100,riassumere,0
100,riforma,0.3269558
100,scuola,-0.2930168
101,fornero,0
101,gelmini,0
101,giusto,0.7305281
101,nulla,0.0079093
101,nulla,0.0000000
101,potuto,0.2733186
101,renzi,0
101,riforma,0.3269558
101,scampare,0.0000000
101,scuola,-0.2930168
101,tempo,0.5431886
101,uscito,0.6819829
102,concreto,0.0000000
102,concreto,1.0882220
102,news,0
102,pagina,0
102,patto,0
102,prima,0.1584426
102,prima,-0.0075449
102,renzi,0
102,riforma,0.3269558
102,scuola,-0.2930168
102,semplice,0.2121973
103,leggete,0.6755979
103,prego,0.2849134
103,punti,0.2603674
103,punti,-1.9896200
103,punti,0.5028711
103,scuola,-0.2930168
103,solo,-0.1194989
104,inapplicabile,0
104,italia,0
104,meritocrazia,0.0000000
105,amo,1.4037828
105,amo,0.2486277
105,berlusconiana,0
105,italia,0
105,memoria,0.1766603
105,paese,0
105,ricorda,0
105,riforma,0.3269558
105,scuola,-0.2930168
105,soddisfatto,1.6810550
105,soddisfatto,2.1940690
105,video,0
106,ossimoro,0.5013958
106,sapore,-0.3729199
106,tecnicamente,0
107,almeno,-0.7277731
107,anni,0
107,d,0
107,fascia,-0.3791786
107,ii,0
107,servizio,0
107,stabilizza,0
108,addio,0
108,beffe,0.1666359
108,gioia,0.5789898
108,icona,0
108,pazza,-0.0270182
108,scolastica,0
108,sexy,1.9321630
108,sinonimo,0
108,supplente,0
108,vittima,-0.7634472
109,buona,1.2762666
109,dopo,0.1599842
109,more,-0.3864848
109,passo,0.2612621
109,passo,0.2830340
109,passo,0.2612621
109,passo,0.2830340
109,scuola,-0.2930168
109,see,0
109,story,0
109,top,0
110,adulti,-0.3584272
110,amore,0.9313507
110,attenzione,0.2242137
110,cari,0.8348721
110,conoscenza,0.7327385
110,futuro,-0.0419757
110,giovani,-0.1041645
110,informazione,0.3134632
110,meno,-0.8320329
110,parte,-1.2946700
111,anno,0
111,arrivano,0.5939086
111,ecco,0
111,mai,-0.7627831
111,ogni,0
111,proteste,0
111,puntuali,-0.4491386
111,puntuali,-0.4491386
111,repubblica,0
111,scrivano,0
111,scuola,-0.2930168
111,studentesche,0
111,tagli,0.3592093
111,tagli,0.3246699
112,sinistrati,0
112,smemorati,-0.6443969
112,studiato,0.7145520
112,unica,-0.4680308
113,buona,1.2762666
113,documento,0.3768057
113,gusti,1.3774440
113,gusti,1.1207930
113,ognuno,0
113,scuola,-0.2930168
114,aspetta,-0.1555097
114,classe,0.5624728
114,fascia,-0.3791786
114,gg,0
114,ii,0
114,rivolge,0
114,ruolo,0
114,va,0.2143860
115,buona,1.2762666
115,ecco,0
115,oggi,0.2300098
115,presentata,0.4071288
115,punto,-1.6408350
115,punto,0.4147166
115,punto,-1.6408350
115,punto,0.4147166
115,riforma,0.3269558
115,scuola,-0.2930168
115,spiegata,0.9683179
116,adesso,0.4345144
116,education,0
116,education,0
116,education,0
117,cose,-0.4014774
117,cose,-0.1806860
117,cose,-0.4014774
117,cose,-0.1806860
117,eccellenti,3.8358690
117,erasmus,0
117,imputabili,0
117,italia,0
117,peggiori,-1.7859660
117,peggiori,-1.6019790
117,peggiori,-0.4714047
117,soldi,0
117,solo,-0.1194989
117,studente,-0.4035421
117,uk,0
117,visto,0
118,comodo,-0.3329607
118,fascia,-0.3791786
118,fatto,0.1788579
118,fatto,-0.0908829
118,finora,0
118,ii,0
118,indietro,0
118,lascia,-0.3587134
118,validi,1.2223070
119,ascolto,0
119,campagna,0
119,d,0
119,interessiamoci,0
119,partecipiamo,0
120,bianco,-0.7371997
120,buona,1.2762666
120,buono,1.8644086
120,firmato,0.3009167
120,mondo,-0.3228885
120,mulino,0
120,scuola,-0.2930168
121,grazie,0.0873786
121,grazie,0.6171325
121,parola,0
121,sola,-0.2523128
122,italiana,0
122,niente,0.0000000
122,scuola,-0.2930168
122,solita,0.3337002
123,fatto,-0.0908829
123,fatto,0.1788579
123,giustizia,0.2682222
123,giustizia,0.5222468
123,meno,-0.8320329
123,nepotismo,1.7295240
123,niente,0.0000000
123,rispetto,1.1758020
123,rispetto,0.8509249
123,siss,0
123,tfa,0
124,d,0
124,entrerà,0.5000000
124,governo,0
124,portare,0.1316264
124,riuscirà,0.1145604
124,scritto,0
124,solo,-0.1194989
124,storia,-0.6289594
124,termine,0
125,ancora,-0.1261360
125,argomenti,1.0645951
125,argomenti,0.3548650
125,bambini,0.3259226
125,cantare,0
125,carica,-1.9661771
125,carica,0.0378671
125,costretti,0.6671993
125,eh,0
125,mucchio,-0.8241450
125,proprio,0.2885740
125,torna,1.0660810
126,carriera,0
126,guida,0.3098117
126,legò,0.2019231
126,linee,0.0223794
126,mobilità,0.3835542
127,associazioni,0.3663405
127,dubbi,0.3595281
127,dubbi,0.2745487
127,riforma,0.3269558
127,studentesche,0
128,addio,0
128,assunzioni,-0.7201592
128,buona,1.2762666
128,merito,1.2853260
128,merito,1.4751070
128,precarietà,0
128,renzi,0
128,scuola,-0.2930168
129,caratteri,1.0506478
129,comincia,0
129,commenti,0.8592935
129,consultazione,0.4708972
129,critiche,-0.1207983
129,critiche,1.4495792
129,critiche,-0.2230122
129,twitter,0
129,voluta,2.0095670
129,voluta,0.3858395
130,aula,0
130,cadono,0.3297346
130,plafoniere,0
130,plaid,0
130,scuola,-0.2930168
130,sicura,0.0273105
130,studenti,-0.3128458
130,testa,0.1935327
130,testa,0.6959988
130,vestaglie,-0.9730038
130,viene,0.4480756
131,docenti,0
131,ricordiamoci,0
131,scuola,-0.2930168
131,solo,-0.1194989
132,affinchè,0
132,convoglio,0
132,diventi,0
132,europeo,0
132,ispirarsi,0.1365434
132,italia,0
132,locomotiva,0
132,modello,0.4191436
132,no,-0.7562506
132,tedesco,0
132,ultimo,-0.4556618
132,vagone,0
132,way,0
133,certo,-0.2403451
133,italia,0
134,asili_nido,-0.1250000
134,baby,0
134,euro,0
134,sitter,0
135,nuove,0.7481396
135,oggi,0.2300098
135,premier,0
135,regole,0.5976383
135,renzi,0
135,riforma,0.3269558
135,scuola,-0.2930168
135,supplenti,0
135,ufficializza,0
136,basso,-0.5958432
136,basta,0
136,cambiare,-0.1385947
136,ciò,0
136,deve,-1.1850719
136,ogni,0
136,professore,0
136,quotidiano,0.3149625
136,riparte,0
137,compare,0.4153072
137,necessaria,0.8964851
137,parola,0
137,pronuncia,0.4343085
137,proprio,0.2885740
137,testo,0.9646248
137,tre,0
137,video,0
137,volte,1.2325150
137,volte,0.4429350
138,addio,0
138,albi,0.5482885
138,altro,-0.8486783
138,assunzioni,-0.7201592
138,gae,0
138,generazionale,0
138,giovani,-0.1041645
138,quando,0
138,regionali,-1.0804300
138,ricambio,0
139,meno,-0.8320329
139,metà,0
139,parlamentari,0.2830988
139,riforma,0.3269558
139,scuola,-0.2930168
140,digitale,0
140,ecco,0
140,gessetto,0
140,interattiva,0
140,italy,0
140,made,0
140,penna,0
140,scuola,-0.2930168
140,torna,1.0660810
141,riforma,0.3269558
141,scuola,-0.2930168
141,senatori,0
141,vita,0.3356392
141,vitalizi,0
142,consiglieri,0
142,metò,0
142,regionali,-1.0804300
142,riforma,0.3269558
142,scuola,-0.2930168
143,consiglieri,0
143,regionali,-1.0804300
143,riforma,0.3269558
143,scuola,-0.2930168
143,vitalizi,0
144,altri,-0.8753048
144,assumere,-1.0330324
144,collegando,0
144,dentro,0
144,formare,0
144,gia,0
144,insegnanti,1.5067950
144,insegnanti,0.3766988
144,lavoro,0.2492198
144,lavoro,-0.5771407
144,mondo,-0.3228885
144,programmi,0
144,riformare,0
144,scuola,-0.2930168
145,andare,0.2415725
145,cerca,0
145,italia,0
145,obbliga,0.8058150
145,opportunità,0.4610194
146,contiene,-0.4093742
146,diffusa,0
146,fatto,0.1788579
146,fatto,-0.0908829
146,frutto,-0.3757448
146,gruppo,-0.2661844
146,idee,0.2540111
146,lavoro,0.2492198
146,lavoro,-0.5771407
146,lungo,1.1915140
146,propaganda,-0.7999676
146,renziana,0
146,valide,1.2528570
147,altra,-1.0593781
147,blocca,-0.7958067
147,intato,0
147,mano,0.9023416
147,prende,0.2421302
148,bullismo,0
148,contrasto,-0.1633232
148,dimentica,-0.0169603
148,giorno,0.1882414
148,miur,0
148,riforma,0.3269558
148,tema,0.3056712
148,tema,-1.3513120
149,buona,1.2762666
149,hogwarts,0
149,scuola,-0.2930168
149,unica,-0.4680308
150,altrimenti,0.7314741
150,categoria,0.3284975
150,me,0
150,poeti,1.7498410
150,spiego,0.7990970
150,studia,0.7553819
151,anni,0
151,dato,-0.0023700
151,dato,-0.2334431
151,durare,0
151,esiste,1.0601660
151,fino,0
151,italia,0
151,lavoro,0.2492198
151,lavoro,-0.5771407
151,minimo,-0.3033277
151,scuola,-0.2930168
152,commenti,0.8592935
152,critiche,1.4495792
152,critiche,-0.2230122
152,critiche,-0.1207983
152,subito,-0.7093475
152,topic,0
152,trending,0
153,altro,-0.8486783
153,lessico,0
153,parla,-0.1879033
153,pp,0
153,pure,0.6502632
154,buona,1.2762666
154,conferenza,0
154,giannini,0
154,giannini,0
154,istruzione,0.6303090
154,ministro,0
154,ministro,0
154,scuola,-0.2930168
154,stampa,-0.5418907
154,stefania,0
154,tien,0
155,bambini,0.3259226
155,grazie,0.0873786
155,grazie,0.6171325
155,inclusione,0
155,integrazione,0
155,linguistica,0
155,mediazione,0
155,stranieri,-0.3145080
156,altro,-0.8486783
156,senz,0
157,dare,-0.0024156
157,decideranno,0
157,futuro,-0.0419757
157,futuro,-0.0419757
157,occorre,0.3479538
157,paese,0
157,scelte,-0.3315594
157,scuola,-0.2930168
157,speranza,0.3942211
158,impiegare,0.6138251
158,italia,0
158,mln,0
158,potevano,0.3112813
158,ristrutturare,0
158,sbaglio,-1.6424860
158,scuole,-0.3794489
158,so,0.3374400
159,adesso,0.4345144
159,blocco,0.3206999
159,blocco,-0.7101212
159,ennesimo,0
159,personale,0
159,prevede,-0.3322462
159,stipendi,0
160,educazione,0.7087967
160,giá,0
160,inizia,0
160,motorie,0
160,paese,0
160,parte,-1.2946700
160,primarie,0.8685816
160,salute,0.9699509
160,sano,0.3877133
160,sano,1.8835490
160,scuola,-0.2930168
161,buona,1.2762666
161,crescere,0.9330116
161,paese,0
161,rapporto,0
161,scuola,-0.2930168
161,settembre,0
162,altro,-0.8486783
162,anno,0
162,bloccate,-0.9213681
162,fare,0.1700394
162,legati,0.6285091
162,merito,1.4751070
162,merito,1.2853260
162,poi,0.4417840
162,promettete,-0.6085518
162,scatti,0.5371031
162,scatti,-0.7872127
162,tutt,0
163,carriera,0
163,così,0.4771842
163,fare,0.1700394
163,formazione_continua,0.2500000
163,merito,1.4751070
163,merito,1.2853260
163,possibilità,0.1677536
163,valutazione,0.4092311
164,centro,0.4642033
164,condividere,0.3314721
164,documento,0.3768057
164,palla,-1.8471060
164,presentazione,0
164,punti,0.2603674
164,punti,-1.9896200
164,punti,0.5028711
164,video,0
165,ambito,0.3742870
165,é,0.1256011
165,estero,-0.3193325
165,formare,0
165,italia,0
165,ogni,0
165,ora,0.0270589
165,peccato,-0.4305959
165,peccato,-0.6151370
165,sa,0.3854818
165,sempre,-0.0971269
165,sforna,0
165,talenti,0.3727525
166,almeno,-0.7277731
166,dovrebbe,-1.4232560
166,excel,0
166,fare,0.1700394
166,informatica,0.4525789
166,insegnarti,2.2167240
166,linguaggio,-0.6082251
166,ora,0.0270589
166,programmazione,0
166,solo,-0.1194989
166,tabelle,0
167,adeguare,0
167,bestemmia,0.3266889
167,bestemmia,-1.0318842
167,buste,0.4436109
167,italia,0
